title,date,price,discounted_price
Up to Par,Q1 2023,,
Frogsong,Q1 2023,,
Netherguild,March 2023,,
VergeWorld,Q1 2023,,
Feed All Monsters,Q1 2023,,
电视台模拟国 Entertainment Simulator,Q1 2023,,
Jupiter Moons: Mecha - Prologue🤖,Q1 2023,Free,Free
My Museum: Treasure Hunter,Q1 2023,,
Blocky Dungeon,Q1 2023,,
Gordian Rooms 2: A curious island,Q1 2023,,
ARTIFICIAL,Q1 2023,,
My Hotel,Q1 2023,,
IDEA,March 2023,,
Hero’s Hour - Rogue Realms,Q1 2023,,
The Riftbreaker: Into The Dark,Q1 2023,,
No Man's Island,Q1 2023,,
Offroad Mechanic Simulator,Q1 2023,,
Hellscreen,Q1 2023,,
RAN: Lost Islands,March 2023,,
Relic Space,Q1 2023,,
Interference: Dead Air,Q1 2023,,
Troublemaker,Q1 2023,,
System Shock,March 2023,39.99,39.99
Rough Justice: '84,March 2023,,
Spiritfall,March 2023,,
Grimgrad,Q1 2023,,
Chicken Journey,Q1 2023,,
Norland,March 2023,,
Grimlord,Q1 2023,,
Backfirewall_,Q1 2023,,
Amnesia: The Bunker,March 2023,,
Sherlock Holmes The Awakened,Q1 2023,,
Ghosts of Tabor,March 2023,,
AdventureQuest Worlds: Unity,March 2023,,
Strike Force Heroes,Q1 2023,,
Black & White,Q1 2023,,
Furnish Master,Q1 2023,,
Havendock,Q1 2023,,
Star Survivor,Q1 2023,,
Oxygen,Q1 2023,,
Dead Cells: Return to Castlevania,Q1 2023,,
Gas Station Simulator - Airstrip DLC,Q1 2023,,
Yet Another Zombie Survivors,Q1 2023,,
Dead Matter,March 2023,,
House Party - Halloween Holiday Pack,Q1 2023,Free To Play,Free To Play
Gordian Rooms 2: A curious island,Q1 2023,,
ARTIFICIAL,Q1 2023,,
Interference: Dead Air,Q1 2023,,
One Military Camp,Q1 2023,,
Meg's Monster,Q1 2023,,
Wildfrost,Q1 2023,,
Surrounded,Q1 2023,,
System Shock,March 2023,39.99,39.99
The Crimson Diamond,March 2023,,
Railroads & Catacombs,Q1 2023,,
Robin Hood - Sherwood Builders,March 2023,,
Gripper,Q1 2023,,
Pharaoh: A New Era,Q1 2023,,
Moon Farming,Q1 2023,,
Pandemic Train,Q1 2023,,
Plasma,Q1 2023,,
Horse Shelter 2022,Q1 2023,,
Monsters Domain,Q1 2023,,
Crimson Tactics: The Rise of The White Banner,Q1 2023,,
Shardpunk: Verminfall,Q1 2023,,
Screaming Chicken: Ultimate Showdown,Q1 2023,,
HELLCARD,Q1 2023,,
ZED ZONE,Q1 2023,,
Hotel Renovator,Q1 2023,,
Rough Justice: '84,March 2023,,
Revival: Recolonization,Q1 2023,,
Espresso Tycoon,March 2023,,
Post-Apo Builder,Q1 2023,,
Colonize,Q1 2023,,
Plasma,Q1 2023,,
Horse Shelter 2022,Q1 2023,,
Monsters Domain,Q1 2023,,
Crimson Tactics: The Rise of The White Banner,Q1 2023,,
Cruise Ship Manager,Q1 2023,,
Backrooms Exploration,March 2023,,
VTuber Beats,Q1 2023,,
COVEN,Coming soon,,
Crab Champions,"Apr 1, 2023",,
Meet Your Maker,"Apr 4, 2023",,
Moons Of Darsalon,"Apr 4, 2023",,
Aethyr,Coming soon,,
Mega Man Battle Network Legacy Collection Vol. 1,"Apr 13, 2023",,
Mega Man Battle Network Legacy Collection Vol. 2,"Apr 13, 2023",,
Mega Man Battle Network Legacy Collection (Vol.1 + Vol.2),"Apr 13, 2023",59.99,59.99
Harvest Island,"Apr 14, 2023",,
God of Rock,"Apr 18, 2023",,
Arcana of Paradise —The Tower—,"Apr 20, 2023",,
Coffee Talk Episode 2: Hibiscus & Butterfly,"Apr 20, 2023",,
Tin Hearts,"Apr 20, 2023",,
Greedventory,"Apr 20, 2023",,
Roots of Pacha,"Apr 25, 2023",,
Blood And Mead,,,
Afterimage,"Apr 25, 2023",,
卫国战争 The Patriotic War,April 2023,,
Untamed Tactics,April 2023,,
Brickadia,April 2023,,
Three Kingdoms Zhao Yun,April 2023,,
Ad Infinitum,April 2023,,
Ethyrial: Echoes of Yore,April 2023,Free,Free
Mail Time,April 2023,,
Volcano Princess,April 2023,,
Mask of the Rose,April 2023,,
Plantera 2: Golden Acorn,April 2023,,
Below the Stone,April 2023,,
Outbreak Island,April 2023,,
Schrodinger's Catgirl,Coming soon,,
Iron Vulture,,,
Age of Wonders 4,"May 2, 2023",,
Midautumn,"May 9, 2023",,
ENDLESS™ Dungeon,"May 18, 2023",29.99,29.99
Minigame Madness,"May 23, 2023",,
Winery Simulator,May 2023,,
Ratten Reich,May 2023,,
Hometopia,May 2023,,
Street Fighter 6,"Jun 1, 2023",59.99,59.99
City of Robots,Coming soon,,
Swelter,"Jun 26, 2023",Free To Play,Free To Play
The Brew Barons,Q2 2023,,
Elteria Adventures,June 2023,Free To Play,Free To Play
Space Cats Tactics,Q2 2023,,
Last Chickenburg,June 2023,,
Cuisineer,June 2023,,
MEATGRINDER,Q2 2023,,
Bravers,Q2 2023,,
Full Circle,June 2023,,
City of Beats,Q2 2023,,
Elteria Adventures,June 2023,Free To Play,Free To Play
Cyber Knights: Flashpoint,Q2 2023,,
Forest Ranger Simulator,Q2 2023,,
Lunacy: Saint Rhodes,Q2 2023,,
Ages of Cataria,June 2023,,
Jungle House,Q2 2023,,
Age of Reforging:The Freelands,June 2023,,
Akurra,Q2 2023,,
Hello Goodboy,Q2 2023,,
Hellsweeper VR,Q2 2023,,
Flowstone Saga,Q2 2023,,
Lawgivers II,Q2 2023,,
DOOMBLADE,Q2 2023,,
BOOK OF HOURS,June 2023,,
Spells & Secrets,Q2 2023,,
Heads Will Roll: Reforged,Q2 2023,,
A.I.M.3: War Protocol,June 2023,,
I Am Jesus Christ,Q2 2023,,
Castle Of Alchemists,Q2 2023,,
Planet of Lana,Q2 2023,,
Railway Empire 2,Q2 2023,,
Tiny Life,Q2 2023,,
Life Not Supported,Q2 2023,,
Plane Accident,June 2023,,
Sengoku Dynasty,Q2 2023,,
Crystarise,Q2 2023,,
Heist Kitty: Cats Go a Stray,Q2 2023,,
Remnants of R'lyeh,Q2 2023,,
Propagation: Paradise Hotel,Q2 2023,,
Chessarama,Q2 2023,,
These Doomed Isles,Q2 2023,,
Hammer of Virtue,Q2 2023,,
Greyhill Incident,Q2 2023,,
Fort Solis,Q2 2023,,
Darkest Dungeon® II,Q2 2023,,
Jelly Express,Q2 2023,,
SCP: EVENT CLASSIFIED,Q2 2023,Free To Play,Free To Play
Alight: Lunar Survival,Q2 2023,,
Pile Up!,Q2 2023,,
Overboss,Q2 2023,,
Last Holiday,Q2 2023,,
Tiny Thor,Q2 2023,,
The Legend of Heroes: Trails into Reverie,"Jul 7, 2023",,
Broken Roads,July 2023,,
Turbo Kid,July 2023,,
NoseBound,"Aug 9, 2023",,
Rogue Soulstone,Coming soon,,
Ami,August 2023,,
Ronin: Samurai Redemption,August 2023,,
Mall Craze,"Sep 19, 2023",,
Duster,Q3 2023,,
The Devil Within: Satgat,Q3 2023,,
Two Falls (Nishu Takuatshina),Q3 2023,,
Neverlooted Dungeon,Q3 2023,,
Railroad Corporation 2,Q3 2023,,
Last Monarch,Q3 2023,,
DIRECT CONTACT,Q3 2023,,
Ashfall,Q3 2023,,
Waifu Warrior F-ist,Q3 2023,,
House Flipper 2,Q3 2023,,
Builders of Greece,Q3 2023,,
The Ranchers,Q3 2023,,
Return,Q3 2023,,
A New Leaf: Memories,Q3 2023,,
Critter Crops,Q3 2023,,
Dungeons 4,Q3 2023,,
Gaucho and the Grassland,September 2023,,
AirportSim,Q3 2023,,
Solarpunk,September 2023,,
Tribe: Primitive Builder,Q3 2023,,
Dissident: Frostland Escape,September 2023,,
Route 66 Simulator,Q3 2023,,
Pirate's Dynasty,Q3 2023,,
Outpost: Infinity Siege,Q3 2023,,
Cloud Jumper,Coming soon,,
Post Trauma,,,
Paranormal Tales,October 2023,,
AC-130 Gunship Operator,October 2023,,
Guns Undarkness,,,
Insatia,,,
Swordcery,Coming soon,,
Endlanders,November 2023,,
Wild Planet,November 2023,,
Zodiac Legion,November 2023,,
Killing Stream,November 2023,,
Rotwood,Coming soon,,
Path of the Abyss,"Dec 22, 2023",,
Rot In A Porcelain Dream,Coming soon,,
I.G.I. Origins,,,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,December 2023,59.99,59.99
Mercyful Flames,2023,,
Bears In Space,2023,,
UKIYO,2023,,
EDEN.schemata();,2023,,
DokiToki: Time Slows Down When You're In Love,2023,,
Strategic Mind: Spirit of Liberty,2023,,
UKIYO,2023,,
Super Catboy,2023,,
Where Birds Go to Sleep,2023,,
BattleCakes,2023,,
Valfaris: Mecha Therion,2023,,
Ugly,2023,,
Faraway Lands: Rise of Yokai,2023,,
It's Only Money,2023,,
Lifeguard Simulator,2023,,
Slavania,2023,,
My Furry Dragon 🐾,2023,,
Warpaws,2023,,
Psychroma,Q4 2023,,
Wild Woods,2023,,
KAKURIYO,2023,,
The Touhou Empires,2023,,
So to Speak,2023,,
Lords of Ravage,2023,,
Terror: Endless Night,2023,,
Paper Trail,2023,,
Backrooms of Reality,2023,,
The Time I Have Left,December 2023,,
Between Horizons,2023,,
Mira and the Legend of the Djinns,2023,,
"Once,in Times of Chaos",2023,,
Dead Ink,2023,,
Athenian Rhapsody,2023,,
1000xRESIST,2023,,
BOC: Birth of Cultures,Q4 2023,,
Exophobia,2023,,
Loretta,2023,,
Underwater Space,2023,,
Through the Nightmares,2023,,
Rollercoaster Mechanic,2023,,
Whisker Squadron,2023,,
Glitch Busters: Stuck On You,2023,,
In Stars And Time,2023,,
Against All Odds,2023,,
Skyclimbers,2023,,
Zoria: Age of Shattering,2023,,
Alien Hominid Invasion,2023,,
Alaskan Truck Simulator,2023,,
Gravity Circuit,2023,,
The End of the Sun,Q4 2023,,
Dark Envoy,2023,,
The Way of Wrath,2023,,
Truck Mechanic: Dangerous Paths,2023,,
Elypse,2023,,
Brewpub Simulator,2023,,
Creature Keeper,2023,,
Football Story,Q4 2023,,
AFTERBLAST,2023,,
Life of Delta,2023,,
Hotel Life: A Resort Simulator,2023,,
Verne: The Shape of Fantasy,2023,,
Chinese Empire,2023,,
Seablip,Q4 2023,,
ZEPHON,2023,,
PRIM,2023,,
REPO MAN,2023,,
Siege of Irdor,2023,,
Magin: The Rat Project Stories,2023,,
Elementallis,2023,,
Diluvian Ultra,2023,,
Project Haven,2023,,
Glitch Busters: Stuck On You,2023,,
In Stars And Time,2023,,
Against All Odds,2023,,
Skyclimbers,2023,,
Zoria: Age of Shattering,2023,,
Dust Fleet,2023,,
Space Mechanic Simulator,2023,,
She Dreams Elsewhere,December 2023,,
Skate Story,2023,,
The Lord of the Rings: Gollum™,2023,,
Starship Troopers: Extermination,2023,,
Let Me Out,2023,,
Space Chef,2023,,
Arctic Awakening,2023,,
Falling Frontier,2023,,
Medic: Pacific War,2023,,
Sclash,2023,,
Noah's Ark,Q4 2023,,
CrocApoca!! Crocodile maiden at the End of the World,2023,,
Ova Magica,2023,,
Quartet,December 2023,,
Goodbye Volcano High,2023,,
Spark in the Dark,2023,,
Cassette Beasts,2023,,
Godsworn,2023,,
Fata Deum,2023,,
Risk of Rain Returns,2023,,
Gord,2023,,
Boundary,2023,,
Heart Of Muriet,2023,,
Blooming Business: Casino,2023,,
Stellar Wanderer,2023,,
Cursed Crew,2023,,
Pixelshire,2023,,
Wandering Sword,2023,,
The Inquisitor,Q4 2023,,
Cattails: Wildwood Story,Q4 2023,,
Another Crab's Treasure,2023,,
The Bunny Graveyard,2023,,
Jumplight Odyssey,2023,,
MeetLight and the secrets of the universe,December 2023,,
ASKA,2023,,
Worldless,2023,,
SUPER BOMBERMAN R 2,2023,,
Breachers,2023,,
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2023,,
浮生箓2：九九行歌 Floating Life 2,2023,,
VEILED EXPERTS,2023,,
Sugoi Adventure! DragonSlayer,2023,,
Let's School,2023,,
Tavernacle!,2023,,
Layers of Fears,2023,,
Kingdom Eighties,2023,,
Darfall,2023,,
Craftomation 101: Programming & Craft,2023,,
Mars Tactics,2023,,
A Sister's Journey,2023,,
Phantom Fury,2023,,
Back to the Dawn,2023,,
Long Gone,December 2023,,
Anger Foot,2023,,
Ultimate Ragdoll Game,2023,,
Astro World,2023,,
Affogato,2023,,
Enatus Radi,2023,,
Synergy,2023,,
Slay the Princess,2023,,
X4: Kingdom End,2023,,
Quilts and Cats of Calico,2023,,
Heart of the Machine,2023,,
Ars Notoria,2023,,
Capes,2023,,
Shogun Showdown,2023,,
Lazaret,2023,,
Turnip Boy Robs a Bank,2023,,
Gatekeeper,2023,,
Valley Peaks,2023,,
Breachway,2023,,
Forgotten but Unbroken,December 2023,,
Transience,2023,,
Elin,2023,,
Once Human,Q4 2023,,
Uncharted Waters Origin,2023,Free To Play,Free To Play
Agent 64: Spies Never Die,2023,,
USC: Counterforce,2023,,
Riot Control Simulator,2023,,
Gunbrella,2023,,
Lakeburg Legacies,2023,,
Terra Nil,2023,,
Corsairs Legacy - Pirate Action RPG & Sea Battles,2023,,
Airship: Kingdoms Adrift,Q4 2023,,
Portal: Revolution,2023,Free,Free
The Siege and the Sandfox,2023,,
GUNHEAD,2023,,
Reverse Collapse: Code Name Bakery,2023,,
Men of War II,2023,,
Wizard with a Gun,2023,,
Die by the Blade,2023,,
Voidtrain,2023,,
Scene Investigators,2023,,
OTHER: Her Loving Embrace,December 2023,,
Pull Stay,2023,,
Carnival Hunt,2023,,
4STORY : ORIGIN,December 2023,Free To Play,Free To Play
Awaking GODSOUL,2023,,
Gestalt: Steam & Cinder,2023,,
DUBIUM,2023,,
Sea of Stars,2023,,
Thrive: Heavy Lies The Crown,2023,,
Heartworm,Q4 2023,,
Drug Dealer Simulator 2,2023,,
Loco Motive,2023,,
Fall of Porcupine,2023,,
Moadra,2023,,
Craftomation 101: Programming & Craft,2023,,
Mars Tactics,2023,,
A Sister's Journey,2023,,
Phantom Fury,2023,,
Back to the Dawn,2023,,
Slopecrashers,2023,,
Kity Builder,2023,,
Palworld,2023,,
Bramble: The Mountain King,2023,,
The Plucky Squire,2023,,
Lies of P,2023,,
Shashingo: Learn Japanese with Photography,2023,,
Minishoot' Adventures,2023,,
The Garden Path,2023,,
Sandwalkers,2023,,
RPG Maker Unite,2023,,
I Am Future,2023,,
Chernobyl Liquidators: Prologue,2023,Free To Play,Free To Play
The Enjenir,2023,,
Duel Corp.,2023,,
Slopecrashers,2023,,
Kity Builder,2023,,
Palworld,2023,,
Bramble: The Mountain King,2023,,
The Plucky Squire,2023,,
Lies of P,2023,,
Shashingo: Learn Japanese with Photography,2023,,
Minishoot' Adventures,2023,,
The Garden Path,2023,,
Sandwalkers,2023,,
RPG Maker Unite,2023,,
I Am Future,2023,,
Chernobyl Liquidators: Prologue,2023,Free To Play,Free To Play
Duelists of Eden,2023,,
The Fancy Pants Adventures: Classic Pack,2023,,
Espiocracy,2023,,
Fragile Existence,2023,,
Hookah Cafe Simulator,2023,,
For The King II,2023,,
Lightyear Frontier,2023,,
Plushie from the Sky,2023,,
PuPu's Adventure Park,2023,,
Drug Grower Simulator,2023,,
Fading Afternoon,2023,,
Mercury Abbey,2023,,
Doodle God Universe,2023,,
I Just Want to be Single!!,2023,,
Wandering Sword,2023,,
The Inquisitor,Q4 2023,,
Cattails: Wildwood Story,Q4 2023,,
Another Crab's Treasure,2023,,
The Bunny Graveyard,2023,,
Jumplight Odyssey,2023,,
MeetLight and the secrets of the universe,December 2023,,
ASKA,2023,,
Worldless,2023,,
SUPER BOMBERMAN R 2,2023,,
Breachers,2023,,
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2023,,
浮生箓2：九九行歌 Floating Life 2,2023,,
VEILED EXPERTS,2023,,
Sugoi Adventure! DragonSlayer,2023,,
Let's School,2023,,
Tavernacle!,2023,,
Layers of Fears,2023,,
Kingdom Eighties,2023,,
Darfall,2023,,
Long Gone,December 2023,,
SMALLAND,2023,,
Espiocracy,2023,,
Fragile Existence,2023,,
Hookah Cafe Simulator,2023,,
For The King II,2023,,
Lightyear Frontier,2023,,
Plushie from the Sky,2023,,
PuPu's Adventure Park,2023,,
Drug Grower Simulator,2023,,
Fading Afternoon,2023,,
Mercury Abbey,2023,,
Doodle God Universe,2023,,
I Just Want to be Single!!,2023,,
Drug Dealer Simulator 2,2023,,
Loco Motive,2023,,
Fall of Porcupine,2023,,
Moadra,2023,,
Craftomation 101: Programming & Craft,2023,,
Mars Tactics,2023,,
A Sister's Journey,2023,,
Phantom Fury,2023,,
Back to the Dawn,2023,,
Myriads: Renaissance,2023,,
Shumi Come Home,2023,,
Teravit,2023,,
"Sir, You Are Being Hunted: Reinvented Edition",2023,,
SunnySide,2023,,
Astrea: Six-Sided Oracles,2023,,
Train Mechanic Simulator 2023,2023,,
Racine,2023,,
地罰上らば竜の降る／Rise of Rebellion,2023,,
The Enjenir,2023,,
Duel Corp.,2023,,
Koa and the Five Pirates of Mara,2023,,
Mika and The Witch's Mountain,2023,,
Xenonauts 2,2023,,
PAYDAY 3,2023,,
Manor Lords,2023,,
BLUE PROTOCOL,2023,,
Sons of Valhalla,2023,,
Radiance,"Jan 11, 2024",,
Arclands,"Jan 19, 2024",,
Astortion,January 2024,,
Uboat Mechanic Simulator,January 2024,,
EARTHLOCK 2,March 2024,,
Silent Night,Q1 2024,,
Aero GPX,March 2024,,
The Constructors,Q1 2024,,
N1RV Ann-A: Cyberpunk Bartender Action,,,
Neverdark,"Jun 27, 2024",,
Nara: Facing Fire,Coming soon,,
The Lawyer - Episode 1: The White Bag,Q3 2024,,
Untamed Isles,,,
Broken Veil,October 2024,,
Steel Ball Race,"Dec 19, 2024",,
Eloquence,2024,,
Generation Ship,2024,,
Gladiators Manager,Q4 2024,,
Yet Another Fantasy Title (YAFT),2024,,
TSURUGIHIME,2024,,
Echo Tokyo: Reaper,2024,,
FOUNTAINS,December 2024,,
Good Heavens!,2024,,
Mewgenics,2024,,
American Camper Simulator,2024,,
The Pope: Power & Sin,2024,,
Human Farm,2024,,
Pizza Simulator,2024,,
Dreamhouse: The Game,2024,,
TORMENTOR,2024,,
Let's Drive - learn driving simulator,2024,,
30 Birds,2024,,
Farm Renovator,2024,,
Last Time I Saw You,2024,,
Earthblade,2024,,
Tchia,Coming soon,,
Lucen,Coming soon,,
Swim Meet,,,
Dinos Reborn,2025,,
Brigador Killers,,,
Dead Pixels II,October 2029,,
In The Valley of Gods,December 2029,,
Might of Merchants,Coming soon,,
B-17 Squadron,,,
The Mind Hero,Coming soon,Free,Free
DELTARUNE,Coming soon,,
